Time	Actual	OD
0	0	0.0900
2	2.58	0.1451
4	4.00	0.0970
6	6.57	0.1463
8	9.20	0.1357
10	12.98	0.2340
12	14.30	0.2520
14	16.73	0.2781
16	19.57	0.2814
18	23.25	0.3040
20	27.00	0.3686
22	29.07	0.3150
24	33.00	0.3471
26	36.12	0.3329
28	49.00	0.4363
30	26	1
32	26	1
34	26	1
36	26	1
38	26	1
40	26	1
42	26	1
44	26	1
46	26	1
48	26	1
50	26	1
52	26	1
