Time	Actual	OD
0	0	0.0235
2	2.58	0.1315
4	4.00	0.1069
6	6.57	0.1170
8	9.20	0.1337
10	12.98	0.2148
12	14.30	0.2338
14	16.73	0.2540
16	19.57	0.2713
18	23.25	0.2855
20	27.00	0.3079
22	29.07	0.3257
24	33.00	0.3679
26	36.12	0.3600
28	49.00	0.3675
30	26	1
32	26	1
34	26	1
36	26	1
38	26	1
40	26	1
42	26	1
44	26	1
46	26	1
48	26	1
50	26	1
52	26	1
